,id,soup
0,19995,cultureclash future spacewar samworthington zoesaldana sigourneyweaver jamescameron action adventure fantasy
1,285,ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
2,206647,spy basedonnovel secretagent danielcraig christophwaltz léaseydoux sammendes action adventure crime
3,49026,dccomics crimefighter terrorist christianbale michaelcaine garyoldman christophernolan action crime drama
4,49529,basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction
5,559,dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco samraimi fantasy action adventure
6,38757,hostage magic horse zacharylevi mandymoore donnamurphy byronhoward animation family
7,99861,marvelcomic sequel superhero robertdowneyjr. chrishemsworth markruffalo josswhedon action adventure sciencefiction
8,767,witch magic broom danielradcliffe rupertgrint emmawatson davidyates adventure fantasy family
9,209112,dccomics vigilante superhero benaffleck henrycavill galgadot zacksnyder action adventure fantasy
10,1452,savingtheworld dccomics invulnerability brandonrouth kevinspacey katebosworth bryansinger adventure fantasy action
11,10764,killing undercover secretagent danielcraig olgakurylenko mathieuamalric marcforster adventure action thriller
12,58,witch fortuneteller bondage johnnydepp orlandobloom keiraknightley goreverbinski adventure fantasy action
13,57201,texas horse survivor johnnydepp armiehammer williamfichtner goreverbinski action adventure western
14,49521,savingtheworld dccomics superhero henrycavill amyadams michaelshannon zacksnyder action adventure fantasy
15,2454,basedonnovel fictionalplace brothersisterrelationship benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy
16,24428,newyork shield marvelcomic robertdowneyjr. chrisevans markruffalo josswhedon sciencefiction action adventure
17,1865,sea captain mutiny johnnydepp penélopecruz ianmcshane robmarshall adventure action fantasy
18,41154,timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction
19,122917,corruption elves dwarves martinfreeman ianmckellen richardarmitage peterjackson action adventure fantasy
20,1930,lossoffather vigilante serum andrewgarfield emmastone rhysifans marcwebb action adventure fantasy
21,20662,robinhood archer knight russellcrowe cateblanchett maxvonsydow ridleyscott action adventure
22,57158,elves dwarves orcs martinfreeman ianmckellen richardarmitage peterjackson adventure fantasy
23,2268,england compass experiment dakotabluerichards nicolekidman danielcraig chrisweitz adventure fantasy
24,254,filmbusiness screenplay showbusiness naomiwatts jackblack adrienbrody peterjackson adventure drama action
25,597,shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller
26,271110,civilwar war marvelcomic chrisevans robertdowneyjr. scarlettjohansson anthonyrusso adventure action sciencefiction
27,44833,fight u.s.navy mindreading taylorkitsch alexanderskarsgård rihanna peterberg thriller action adventure
28,135397,monster dna tyrannosaurusrex chrispratt brycedallashoward irrfankhan colintrevorrow action adventure sciencefiction
29,37724,spy secretagent sociopath danielcraig judidench javierbardem sammendes action adventure thriller
30,558,dualidentity loveofone'slife pizzaboy tobeymaguire kirstendunst jamesfranco samraimi action adventure fantasy
31,68721,terrorist waronterror tennessee robertdowneyjr. gwynethpaltrow doncheadle shaneblack action adventure sciencefiction
32,12155,basedonnovel fictionalplace queen miawasikowska johnnydepp annehathaway timburton family fantasy adventure
33,36668,mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen brettratner adventure action sciencefiction
34,62211,monster dormitory games billycrystal johngoodman stevebuscemi danscanlon animation family
